S.No.,Roll No,Course Allocated in given output,Course Allocated in myoutput
1,18111263,CS610,CS422
2,18807615,CS666,CS201
3,190106,ESC101/2,-
4,190128,ESO207,ESC101/2
5,190163,ESO207,ESC101/2
6,190164,ESO207,ESC101/2
7,190306,ESC101/2,ESO207
8,190327,X,ESC101/2
9,190593,ESC101/2,ESO207
10,190941,ESC101/2,ESO207
11,21111002,CS330,CS682
12,21111004,CS667A,CS798B
13,21111005,CS345,CS610
14,21111007,CS201,CS656
15,21111009,CS690,CS682
16,21111011,CS690,CS637
17,21111016,CS656,CS647
18,21111017,CS330,CS637
19,21111024,CS300,CS201
20,21111025,CS682,CS300
21,21111033,CS798B,LAB TA
22,21111036,CS330,CS201
23,21111037,CS682,CS300
24,21111039,CS345,CS201
25,21111044,CS682,CS340
26,21111045,CS647,CS667A
27,21111046,CS637,CS300
28,21111047,CS637,CS666
29,21111049,CS771,CS667A
30,21111052,CS667A,CS345
31,21111053,CS771,CS345
32,21111054,CS610,CS340
33,21111059,CS771,CS330
34,21111060,CS201,CS345
35,21111062,CS647,CS330
36,21111064,CS682,CS771
37,21111065,CS345,CS771
38,21111067,CS201,CS698F
39,21111069,CS667A,CS771
40,21111263,CS201,CS698S
41,21111270,CS698S,CS667A
42,21111271,CS422,CS330
43,21111402,CS340,CS798B
44,21111403,CS300,CS682
45,21111405,CS639,CS610
46,21111407,CS340,CS798B
47,21111408,CS300,CS682
48,21211402,CS698F,CS639
